# 1.因为最初全量导入PAAS平台时，模型唯一标识是由“模型名+日期”组成，后续批次新增的模型日期又与最初的导入的日期不一样，
#  所以导致模型唯一标识没有规律，不方便管理。因此以下这些模型唯一标识是从PAAS平台导出，方便后续更新模型时模型唯一标识不会有变化。
# 2.除了以下模型，后续新增的模型导入PAAS，模型唯一标识都是与模型名一样。
DATANAME,XMLID
TO_NGCC_10086_ZNTS_STSFD_LOG,TO_NGCC_10086_ZNTS_STSFD_LOG_20161017
TM_MRKT_MNTR_10086_ITEM_DATA_DAY,TM_MRKT_MNTR_10086_ITEM_DATA_DAY_20161017
TW_CHNL_YK_M,TW_CHNL_YK_M_20161017
TW_PERS_YK_USR_M,TW_PERS_YK_USR_M_20161017
TR_SJDCRM_BASS_PRDCT_SRVC,TR_SJDCRM_BASS_PRDCT_SRVC_20161017
TO_M_PERS_KDBINDNUM_D,TO_M_PERS_KDBINDNUM_D_20161017
TO_MMPLN_DLOAD_WRK_DAY,TO_MMPLN_DLOAD_WRK_DAY_20161017
TO_MMPLN_WRK_DLOAD_MO,TO_MMPLN_WRK_DLOAD_MO_20161017
TO_MMPLN_SBMT_AP_DAY,TO_MMPLN_SBMT_AP_DAY_20161017
TO_CR_BOX_INFO,TO_CR_BOX_INFO_20161017
TO_CR_DWN_TOPCHINA,TO_CR_DWN_TOPCHINA_20161017
TO_CR_GRP_INFO,TO_CR_GRP_INFO_20161017
TO_CR_DWN_TOPGD,TO_CR_DWN_TOPGD_20161017
TO_MMPLN_INST_DVLPR_DAY,TO_MMPLN_INST_DVLPR_DAY_20161017
TO_E_COM139_ICNTC_D,TO_E_COM139_ICNTC_D_20161017
TO_E_MOBGAME_1585_DIV_ALONE_PAY_D,TO_E_MOBGAME_1585_DIV_ALONE_PAY_D_20161017
TO_MMPLN_REG_DEV_RSLT,TO_MMPLN_REG_DEV_RSLT_20161017
TO_WEB_CHNL_PAY_DAY,TO_WEB_CHNL_PAY_DAY_20161017
TO_R_WEB_ORDR_D,TO_R_WEB_ORDR_D_20161017
